STATEFP,GEOID,NAME,CDP02_92E,OBJECTID,NCESID,STATEABBREV
13,1300930,Catoosa County School District,6435,3731,1300930,GA
13,1300990,Charlton County School District,960,3732,1300990,GA
13,1301020,Chatham County School District,22630,3733,1301020,GA
13,1301080,Chattooga County School District,2330,3735,1301080,GA
13,1301110,Cherokee County School District,24730,3736,1301110,GA
13,1301170,Clarke County School District,7180,3738,1301170,GA
13,1301200,Clay County School District,245,3739,1301200,GA
13,1301230,Clayton County School District,29395,3740,1301230,GA
13,1301260,Clinch County School District,600,3741,1301260,GA
13,1301290,Cobb County School District,68525,3742,1301290,GA
13,1301350,Coffee County School District,4120,3743,1301350,GA
13,1301380,Colquitt County School District,4830,3744,1301380,GA
13,1301410,Columbia County School District,13285,3745,1301410,GA
13,1301440,Commerce City School District,660,3746,1301440,GA
13,1301470,Cook County School District,1690,3747,1301470,GA
13,1301500,Coweta County School District,15505,3748,1301500,GA
13,1301530,Crawford County School District,995,3749,1301530,GA
13,1301560,Crisp County School District,2230,3750,1301560,GA
13,1301590,Dade County School District,1330,3751,1301590,GA
13,1301620,Dalton City School District,4045,3752,1301620,GA
13,1301650,Dawson County School District,1825,3753,1301650,GA
13,1301680,Decatur City School District,2300,3754,1301680,GA
13,1301710,Decatur County School District,2910,3755,1301710,GA
13,1301740,DeKalb County School District,55540,3756,1301740,GA
13,1301770,Dodge County School District,2010,3757,1301770,GA
13,1301800,Dooly County School District,1275,3758,1301800,GA
13,1301830,Dougherty School District,9380,3759,1301830,GA
13,1301860,Douglas County School District,14855,3760,1301860,GA
13,1301870,Dublin City School District,1495,3761,1301870,GA
13,1301890,Laurens County School District,3210,3762,1301890,GA
13,1301920,Early County School District,935,3763,1301920,GA
13,1301950,Echols County School District,510,3764,1301950,GA
13,1301980,Effingham County School District,6540,3765,1301980,GA
13,1302010,Elbert County School District,1845,3766,1302010,GA
13,1302040,Emanuel County School District,2185,3767,1302040,GA
13,1302070,Evans County School District,1000,3768,1302070,GA
13,1302100,Fannin County School District,1925,3769,1302100,GA
13,1302130,Fayette County School District,11555,3770,1302130,GA
13,1302190,Floyd County School District,5505,3771,1302190,GA
13,1302220,Forsyth County School District,26190,3772,1302220,GA
13,1302250,Franklin County School District,2250,3773,1302250,GA
13,1302280,Fulton County School District,54870,3774,1302280,GA
13,1302310,Gainesville City School District,3865,3775,1302310,GA
13,1302340,Gilmer County School District,2470,3776,1302340,GA
13,1302370,Glascock County School District,255,3777,1302370,GA
13,1302400,Glynn County School District,7595,3778,1302400,GA
13,1302430,Gordon County School District,4495,3779,1302430,GA
13,1302460,Grady County School District,2560,3780,1302460,GA
13,1302490,Greene County School District,1225,3781,1302490,GA
13,1302520,Spalding County School District,5540,3782,1302520,GA
13,1302550,Gwinnett County School District,96675,3783,1302550,GA
13,1302580,Habersham County School District,3585,3784,1302580,GA
13,1302610,Hall County School District,15395,3785,1302610,GA
13,1302640,Hancock County School District,400,3786,1302640,GA
13,1302670,Haralson County School District,2395,3787,1302670,GA
13,1302700,Harris County School District,3495,3788,1302700,GA
13,1302730,Hart County School District,2445,3789,1302730,GA
13,1302790,Heard County School District,1220,3790,1302790,GA
13,1302820,Henry County School District,24480,3791,1302820,GA
13,1302880,Houston County School District,16360,3792,1302880,GA
13,1302910,Irwin County School District,715,3793,1302910,GA
13,1302940,Jackson County School District,4480,3794,1302940,GA
13,1302970,Jasper County School District,1305,3795,1302970,GA
13,1303000,Jeff Davis County School District,1610,3796,1303000,GA
13,1303030,Jefferson City School District,1290,3797,1303030,GA
13,1303060,Jefferson County School District,1390,3798,1303060,GA
13,1303090,Jenkins County School District,775,3799,1303090,GA
13,1303120,Johnson County School District,705,3800,1303120,GA
13,1303150,Jones County School District,3085,3801,1303150,GA
13,1303210,Lamar County School District,1270,3802,1303210,GA
13,1303240,Lanier County School District,1155,3803,1303240,GA
13,1303270,Lee County School District,3590,3804,1303270,GA
13,1303300,Liberty County School District,5375,3805,1303300,GA
13,1303330,Lincoln County School District,715,3806,1303330,GA
13,1303360,Long County School District,1880,3807,1303360,GA
13,1303390,Lowndes County School District,5430,3808,1303390,GA
13,1303420,Lumpkin County School District,2500,3809,1303420,GA
13,1303450,Macon County School District,925,3810,1303450,GA
13,1303480,Madison County School District,2735,3811,1303480,GA
13,1303510,Marietta City School District,5345,3812,1303510,GA
13,1303540,Marion County School District,770,3813,1303540,GA
13,1303570,McDuffie County School District,2265,3814,1303570,GA
13,1303600,McIntosh County School District,1280,3815,1303600,GA
13,1303630,Meriwether County School District,1925,3816,1303630,GA
13,1303660,Miller County School District,575,3817,1303660,GA
13,1303690,Mitchell County School District,1665,3818,1303690,GA
13,1303720,Monroe County School District,1875,3819,1303720,GA
13,1303750,Montgomery County School District,650,3820,1303750,GA
13,1303780,Morgan County School District,1825,3821,1303780,GA
13,1303840,Murray County School District,4745,3822,1303840,GA
13,1303870,Muscogee County School District,18165,3823,1303870,GA
13,1303930,Newton County School District,11100,3824,1303930,GA
13,1303960,Oconee County School District,4270,3825,1303960,GA
13,1303990,Oglethorpe County School District,1385,3826,1303990,GA
13,1304020,Paulding County School District,17890,3827,1304020,GA
13,1304050,Peach County School District,2525,3828,1304050,GA
13,1304080,Pelham City School District,345,3829,1304080,GA
13,1304110,Pickens County School District,2460,3830,1304110,GA
13,1304140,Pierce County School District,2005,3831,1304140,GA
13,1304170,Pike County School District,1540,3832,1304170,GA
13,1304200,Polk County School District,4300,3833,1304200,GA
13,1304220,Pulaski County School District,1015,3834,1304220,GA
13,1304260,Putnam County School District,1550,3835,1304260,GA
13,1304290,Quitman County School District,130,3836,1304290,GA
13,1304320,Rabun County School District,1155,3837,1304320,GA
13,1304350,Randolph County School District,540,3838,1304350,GA
